Rank,Name,Symbol,MainLink,HistoricalLink,Tags,Github_link
1,bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,"['Mineable', 'PoW', 'SHA-256']",https://github.com/bitcoin/bitcoin
2,ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,"['PoS', 'Smart Contracts', 'Ethereum Ecosystem']",https://github.com/ethereum/go-ethereum
3,tether,USDT,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,"['Payments', 'Stablecoin', 'Asset-Backed Stablecoin']",
4,bnb,BNB,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Payments']",https://github.com/bnb-chain
5,xrp,XRP,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,"['Medium of Exchange', 'Enterprise Solutions', 'Arrington XRP Capital Portfolio']",https://github.com/ripple/rippled
6,usd-coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,"['Medium of Exchange', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/centrehq/centre-tokens
7,cardano,ADA,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,"['DPoS', 'PoS', 'Platform']",
8,dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,"['Mineable', 'PoW', 'Scrypt']",https://github.com/dogecoin/dogecoin
9,solana,SOL,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,"['PoS', 'Platform', 'Solana Ecosystem']",https://github.com/solana-labs
10,tron,TRX,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,"['Media', 'Payments', 'TRON Ecosystem']",https://github.com/tronprotocol/java-tron
11,polkadot-new,DOT,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,"['Substrate', 'Polkadot', 'Binance Chain']",https://github.com/paritytech/polkadot
12,multi-collateral-dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,"['DeFi', 'Stablecoin', 'Asset-Backed Stablecoin']",
13,polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,https://coinmarketcap.com/currencies/polygon/historical-data/,"['PoS', 'Platform', 'Enterprise Solutions']",https://github.com/maticnetwork/whitepaper/
14,toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,https://coinmarketcap.com/currencies/toncoin/historical-data/,"['PoS', 'DWF Labs Portfolio', 'Toncoin Ecosystem']",https://github.com/ton-blockchain
15,litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,https://coinmarketcap.com/currencies/litecoin/historical-data/,"['Mineable', 'PoW', 'Scrypt']",https://github.com/litecoin-project/litecoin
16,shiba-inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,"['Memes', 'Ethereum Ecosystem', 'Doggone Doggerel']",
17,wrapped-bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://coinmarketcap.com/currencies/wrapped-bitcoin/historical-data/,"['Medium of Exchange', 'DeFi', 'Wrapped Tokens']",https://github.com/WrappedBTC/bitcoin-token-smart-contracts
18,bitcoin-cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,"['Mineable', 'PoW', 'SHA-256']",
19,unus-sed-leo,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
20,avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,https://coinmarketcap.com/currencies/avalanche/historical-data/,"['DeFi', 'Smart Contracts', 'Three Arrows Capital Portfolio']",https://github.com/ava-labs/avalanchego
21,stellar,XLM,https://coinmarketcap.com/currencies/stellar/,https://coinmarketcap.com/currencies/stellar/historical-data/,"['Medium of Exchange', 'Enterprise Solutions', 'Decentralized Exchange (DEX) Token']",https://github.com/stellar/stellar-core
22,chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,https://coinmarketcap.com/currencies/chainlink/historical-data/,"['Platform', 'DeFi', 'Oracles']",https://github.com/smartcontractkit/chainlink
23,binance-usd,BUSD,https://coinmarketcap.com/currencies/binance-usd/,https://coinmarketcap.com/currencies/binance-usd/historical-data/,"['Stablecoin', 'Asset-Backed Stablecoin', 'Binance Chain']",https://github.com/paxosglobal/busd-contract
24,trueusd,TUSD,https://coinmarketcap.com/currencies/trueusd/,https://coinmarketcap.com/currencies/trueusd/historical-data/,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/trusttoken/smart-contracts
25,uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,https://coinmarketcap.com/currencies/uniswap/historical-data/,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO']",
26,monero,XMR,https://coinmarketcap.com/currencies/monero/,https://coinmarketcap.com/currencies/monero/historical-data/,"['Mineable', 'PoW', 'Medium of Exchange']",https://github.com/monero-project/monero
27,okb,OKB,https://coinmarketcap.com/currencies/okb/,https://coinmarketcap.com/currencies/okb/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
28,cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,https://coinmarketcap.com/currencies/cosmos/historical-data/,"['Platform', 'Cosmos Ecosystem', 'Content Creation']",https://github.com/cosmos
29,ethereum-classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,"['Mineable', 'PoW', 'Ethash']",https://github.com/ethereumclassic/ethereumclassic.github.io
30,hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,https://coinmarketcap.com/currencies/hedera/historical-data/,"['DAG', 'Marketplace', 'Enterprise Solutions']",https://github.com/hashgraph
31,internet-computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,https://coinmarketcap.com/currencies/internet-computer/historical-data/,"['Platform', 'Distributed Computing', 'Collectibles & NFTs']",https://github.com/dfinity/ic
32,filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,https://coinmarketcap.com/currencies/filecoin/historical-data/,"['Mineable', 'Distributed Computing', 'Filesharing']",https://github.com/filecoin-project/
33,mantle,MNT,https://coinmarketcap.com/currencies/mantle/,https://coinmarketcap.com/currencies/mantle/historical-data/,"['Ethereum Ecosystem', 'Layer 2', 'DWF Labs Portfolio']",https://github.com/mantlenetworkio
34,lido-dao,LDO,https://coinmarketcap.com/currencies/lido-dao/,https://coinmarketcap.com/currencies/lido-dao/historical-data/,"['DeFi', 'DAO', 'Three Arrows Capital Portfolio']",https://github.com/lidofinance
35,cronos,CRO,https://coinmarketcap.com/currencies/cronos/,https://coinmarketcap.com/currencies/cronos/historical-data/,"['Medium of Exchange', 'Cosmos Ecosystem', 'Centralized Exchange (CEX) Token']",https://github.com/crypto-org-chain/chain-main
36,aptos,APT,https://coinmarketcap.com/currencies/aptos/,https://coinmarketcap.com/currencies/aptos/historical-data/,"['Binance Labs Portfolio', 'Aptos Ecosystem', 'Circle Ventures Portfolio']",
37,quant,QNT,https://coinmarketcap.com/currencies/quant/,https://coinmarketcap.com/currencies/quant/historical-data/,"['Platform', 'Interoperability']",https://github.com/quantnetwork/
38,arbitrum,ARB,https://coinmarketcap.com/currencies/arbitrum/,https://coinmarketcap.com/currencies/arbitrum/historical-data/,"['Scaling', 'DAO', 'DApp']",https://github.com/OffchainLabs
39,vechain,VET,https://coinmarketcap.com/currencies/vechain/,https://coinmarketcap.com/currencies/vechain/historical-data/,"['Logistics', 'Data Provenance', 'IoT']",https://github.com/vechain
40,near-protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,https://coinmarketcap.com/currencies/near-protocol/historical-data/,"['Platform', 'Staking', 'Coinbase Ventures Portfolio']",https://github.com/nearprotocol/nearcore
41,optimism-ethereum,OP,https://coinmarketcap.com/currencies/optimism-ethereum/,https://coinmarketcap.com/currencies/optimism-ethereum/historical-data/,"['Layer 2', 'Optimism Ecosystem']",https://github.com/ethereum-optimism/
42,maker,MKR,https://coinmarketcap.com/currencies/maker/,https://coinmarketcap.com/currencies/maker/historical-data/,"['Store Of Value', 'DeFi', 'DAO']",https://github.com/makerdao
43,aave,AAVE,https://coinmarketcap.com/currencies/aave/,https://coinmarketcap.com/currencies/aave/historical-data/,"['DeFi', 'DAO', 'Yield Farming']",https://github.com/aave
44,the-graph,GRT,https://coinmarketcap.com/currencies/the-graph/,https://coinmarketcap.com/currencies/the-graph/historical-data/,"['AI & Big Data', 'Enterprise Solutions', 'DeFi']",https://github.com/graphprotocol
45,algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,https://coinmarketcap.com/currencies/algorand/historical-data/,"['PoS', 'Platform', 'Research']",https://github.com/algorand/go-algorand
46,xdc-network,XDC,https://coinmarketcap.com/currencies/xdc-network/,https://coinmarketcap.com/currencies/xdc-network/historical-data/,"['Enterprise Solutions', 'Smart Contracts', 'XDC Ecosystem']",https://github.com/xinfinorg
47,usdd,USDD,https://coinmarketcap.com/currencies/usdd/,https://coinmarketcap.com/currencies/usdd/historical-data/,"['Stablecoin', 'Algorithmic Stablecoin', 'Arbitrum Ecosystem']",
48,axie-infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,https://coinmarketcap.com/currencies/axie-infinity/historical-data/,"['Collectibles & NFTs', 'Gaming', 'Binance Launchpad']",
49,the-sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,https://coinmarketcap.com/currencies/the-sandbox/historical-data/,"['Collectibles & NFTs', 'Content Creation', 'Gaming']",
50,tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,https://coinmarketcap.com/currencies/tezos/historical-data/,"['PoS', 'Platform', 'Enterprise Solutions']",
51,stacks,STX,https://coinmarketcap.com/currencies/stacks/,https://coinmarketcap.com/currencies/stacks/historical-data/,"['Mineable', 'Platform', 'Collectibles & NFTs']",https://github.com/stacks-network
52,multiversx-egld,EGLD,https://coinmarketcap.com/currencies/multiversx-egld/,https://coinmarketcap.com/currencies/multiversx-egld/historical-data/,"['Binance Launchpad', 'Binance Labs Portfolio', 'Electric Capital Portfolio']",https://github.com/multiversx
53,eos,EOS,https://coinmarketcap.com/currencies/eos/,https://coinmarketcap.com/currencies/eos/historical-data/,"['Medium of Exchange', 'Enterprise Solutions', 'Smart Contracts']",https://github.com/AntelopeIO/leap
54,theta-network,THETA,https://coinmarketcap.com/currencies/theta-network/,https://coinmarketcap.com/currencies/theta-network/historical-data/,"['Media', 'Collectibles & NFTs', 'Content Creation']",https://github.com/thetatoken
55,immutable-x,IMX,https://coinmarketcap.com/currencies/immutable-x/,https://coinmarketcap.com/currencies/immutable-x/historical-data/,"['Collectibles & NFTs', 'Zero Knowledge Proofs', 'Gaming']",
56,injective,INJ,https://coinmarketcap.com/currencies/injective/,https://coinmarketcap.com/currencies/injective/historical-data/,"['PoS', 'Platform', 'Cosmos Ecosystem']",https://github.com/InjectiveLabs
57,fantom,FTM,https://coinmarketcap.com/currencies/fantom/,https://coinmarketcap.com/currencies/fantom/historical-data/,"['Platform', 'Enterprise Solutions', 'DeFi']",https://github.com/Fantom-Foundation
58,bitcoin-sv,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,https://coinmarketcap.com/currencies/bitcoin-sv/historical-data/,"['Mineable', 'PoW', 'SHA-256']",https://github.com/bitcoin-sv/bitcoin-sv
59,decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,https://coinmarketcap.com/currencies/decentraland/historical-data/,"['Platform', 'Collectibles & NFTs', 'Gaming']",https://github.com/decentraland/mana
60,synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/,https://coinmarketcap.com/currencies/synthetix/historical-data/,"['Services', 'Decentralized Exchange (DEX) Token', 'DeFi']",
61,render,RNDR,https://coinmarketcap.com/currencies/render/,https://coinmarketcap.com/currencies/render/historical-data/,"['Art', 'Media', 'VR/AR']",
62,apecoin-ape,APE,https://coinmarketcap.com/currencies/apecoin-ape/,https://coinmarketcap.com/currencies/apecoin-ape/historical-data/,"['Collectibles & NFTs', 'Content Creation', 'Gaming']",
63,paxos-standard,USDP,https://coinmarketcap.com/currencies/paxos-standard/,https://coinmarketcap.com/currencies/paxos-standard/historical-data/,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/paxosglobal/pax-contracts
64,neo,NEO,https://coinmarketcap.com/currencies/neo/,https://coinmarketcap.com/currencies/neo/historical-data/,"['Platform', 'Enterprise Solutions', 'Smart Contracts']",https://github.com/neo-project/neo
65,thorchain,RUNE,https://coinmarketcap.com/currencies/thorchain/,https://coinmarketcap.com/currencies/thorchain/historical-data/,"['Cosmos Ecosystem', 'Decentralized Exchange (DEX) Token', 'DeFi']",https://github.com/thorchain
66,kava,KAVA,https://coinmarketcap.com/currencies/kava/,https://coinmarketcap.com/currencies/kava/historical-data/,"['Cosmos Ecosystem', 'DeFi', 'Binance Launchpad']",https://github.com/kava-labs
67,pax-gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,https://coinmarketcap.com/currencies/pax-gold/historical-data/,"['BNB Chain', 'Tokenized Gold']",https://github.com/paxosglobal/paxos-gold-contract
68,tether-gold,XAUt,https://coinmarketcap.com/currencies/tether-gold/,https://coinmarketcap.com/currencies/tether-gold/historical-data/,['Tokenized Gold'],
69,ecash,XEC,https://coinmarketcap.com/currencies/ecash/,https://coinmarketcap.com/currencies/ecash/historical-data/,['Layer 1'],https://github.com/bitcoin-abc
70,flow,FLOW,https://coinmarketcap.com/currencies/flow/,https://coinmarketcap.com/currencies/flow/historical-data/,"['Platform', 'Collectibles & NFTs', 'Staking']",https://github.com/onflow
71,rocket-pool,RPL,https://coinmarketcap.com/currencies/rocket-pool/,https://coinmarketcap.com/currencies/rocket-pool/historical-data/,"['DeFi', 'Liquid Staking Derivatives']",https://github.com/rocket-pool/rocketpool
72,chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,https://coinmarketcap.com/currencies/chiliz/historical-data/,"['Sports', 'Collectibles & NFTs', 'Content Creation']",
73,gala,GALA,https://coinmarketcap.com/currencies/gala/,https://coinmarketcap.com/currencies/gala/historical-data/,"['Collectibles & NFTs', 'Gaming', 'BNB Smart Chain']",
74,klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,https://coinmarketcap.com/currencies/klaytn/historical-data/,"['Platform', 'Enterprise Solutions', 'Injective Ecosystem']",https://github.com/klaytn/klaytn
75,kucoin-token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,https://coinmarketcap.com/currencies/kucoin-token/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
76,frax-share,FXS,https://coinmarketcap.com/currencies/frax-share/,https://coinmarketcap.com/currencies/frax-share/historical-data/,"['DeFi', 'Seigniorage', 'Avalanche Ecosystem']",https://github.com/fraxfinance
77,iota,MIOTA,https://coinmarketcap.com/currencies/iota/,https://coinmarketcap.com/currencies/iota/historical-data/,"['DAG', 'Medium of Exchange', 'IoT']",https://github.com/iotaledger
78,zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,https://coinmarketcap.com/currencies/zcash/historical-data/,"['Mineable', 'PoW', 'Equihash']",https://github.com/zcash/zcash
79,casper,CSPR,https://coinmarketcap.com/currencies/casper/,https://coinmarketcap.com/currencies/casper/historical-data/,"['Enterprise Solutions', 'Arrington XRP Capital Portfolio', 'Hashkey Capital Portfolio']",https://github.com/casper-network/
80,sui,SUI,https://coinmarketcap.com/currencies/sui/,https://coinmarketcap.com/currencies/sui/historical-data/,"['Binance Launchpool', 'Coinbase Ventures Portfolio', 'Binance Labs Portfolio']",https://github.com/MystenLabs
81,huobi-token,HT,https://coinmarketcap.com/currencies/huobi-token/,https://coinmarketcap.com/currencies/huobi-token/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",
82,bittorrent-new,BTT,https://coinmarketcap.com/currencies/bittorrent-new/,https://coinmarketcap.com/currencies/bittorrent-new/historical-data/,"['Platform', 'Distributed Computing', 'Filesharing']",https://github.com/bittorrent
83,curve-dao-token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,https://coinmarketcap.com/currencies/curve-dao-token/historical-data/,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO']",https://github.com/curvefi/curve-contract
84,conflux-network,CFX,https://coinmarketcap.com/currencies/conflux-network/,https://coinmarketcap.com/currencies/conflux-network/historical-data/,"['Mineable', 'PoW', 'Platform']",https://github.com/Conflux-Chain
85,mina,MINA,https://coinmarketcap.com/currencies/mina/,https://coinmarketcap.com/currencies/mina/historical-data/,"['PoS', 'Zero Knowledge Proofs', 'Staking']",https://github.com/MinaProtocol/mina
86,gatetoken,GT,https://coinmarketcap.com/currencies/gatetoken/,https://coinmarketcap.com/currencies/gatetoken/historical-data/,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']",https://github.com/gatechain
87,terra-luna,LUNC,https://coinmarketcap.com/currencies/terra-luna/,https://coinmarketcap.com/currencies/terra-luna/historical-data/,"['Cosmos Ecosystem', 'Store Of Value', 'DeFi']",https://github.com/terra-money/core
88,trust-wallet-token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,https://coinmarketcap.com/currencies/trust-wallet-token/historical-data/,"['Wallet', 'Polygon Ecosystem', 'BNB Chain']",https://github.com/trustwallet
89,pepe,PEPE,https://coinmarketcap.com/currencies/pepe/,https://coinmarketcap.com/currencies/pepe/historical-data/,['Memes'],
90,dydx,DYDX,https://coinmarketcap.com/currencies/dydx/,https://coinmarketcap.com/currencies/dydx/historical-data/,"['DeFi', 'Derivatives', 'Zero Knowledge Proofs']",https://github.com/dydxfoundation/
91,compound,COMP,https://coinmarketcap.com/currencies/compound/,https://coinmarketcap.com/currencies/compound/historical-data/,"['DeFi', 'DAO', 'Yield Farming']",https://github.com/compound-finance/compound-protocol
92,nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,https://coinmarketcap.com/currencies/nexo/historical-data/,"['Services', 'Payments', 'Cardano Ecosystem']",https://github.com/nexofinance/NEXO-Token/
93,gmx,GMX,https://coinmarketcap.com/currencies/gmx/,https://coinmarketcap.com/currencies/gmx/historical-data/,"['Derivatives', 'DEX', 'Avalanche Ecosystem']",
94,bone-shibaswap,BONE,https://coinmarketcap.com/currencies/bone-shibaswap/,https://coinmarketcap.com/currencies/bone-shibaswap/historical-data/,"['Memes', 'Doggone Doggerel']",
95,apenft,NFT,https://coinmarketcap.com/currencies/apenft/,https://coinmarketcap.com/currencies/apenft/historical-data/,"['Art', 'Collectibles & NFTs', 'TRON Ecosystem']",
96,wootrade,WOO,https://coinmarketcap.com/currencies/wootrade/,https://coinmarketcap.com/currencies/wootrade/historical-data/,"['Centralized Exchange (CEX) Token', 'Three Arrows Capital Portfolio', 'Exnetwork Capital Portfolio']",
97,gemini-dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,https://coinmarketcap.com/currencies/gemini-dollar/historical-data/,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']",https://github.com/gemini/dollar
98,flare,FLR,https://coinmarketcap.com/currencies/flare/,https://coinmarketcap.com/currencies/flare/historical-data/,['DWF Labs Portfolio'],https://github.com/flare-foundation/
99,astar,ASTR,https://coinmarketcap.com/currencies/astar/,https://coinmarketcap.com/currencies/astar/historical-data/,"['Polkadot', 'Polkadot Ecosystem', 'OKEx Blockdream Ventures Portfolio']",https://github.com/AstarNetwork/Astar
100,dash,DASH,https://coinmarketcap.com/currencies/dash/,https://coinmarketcap.com/currencies/dash/historical-data/,"['Mineable', 'Hybrid - PoW & PoS', 'X11']",https://github.com/dashpay/dash
